"","title","avg_rating","genres","author","num_pages","price","publish_date","rating_1","rating_2","rating_3","rating_4","rating_5","review"
"1","Chocolat",3.96,"Cultural, Romance, Fiction, Magical Realism, France, Fantasy","Joanne Harris",306,"14","11/1/00",989,4485,23737,41273,31213,20339
"2","Heart of a Dog",4.13,"Fiction, Russia, Literature, Science Fiction, Cultural, Russian Literature, Classics","Mikhail Bulgakov",126,"16","1/21/94",301,1177,5821,12244,13412,6591
"3","Naked in Death",4.12,"Romance, Mystery, Romantic Suspense, Fiction, Crime","J.D. Robb",306,"7.99","7/1/95",4190,6271,24497,45450,67795,29641
"4","The Yellow Wallpaper and Other Stories",4.04,"Horror, Classics, Feminism, Fiction, Short Stories, Literature","Charlotte Perkins Gilman",70,"3","7/11/97",1102,3393,14610,26567,27513,14637
"5","Pretties",3.85,"Science Fiction, Young Adult, Dystopia","Scott Westerfeld",370,"9.99","11/1/05",4123,14655,55727,77710,65375,43518
"6","The Stranger",3.97,"Cultural, Classics, Fiction, Literature, Philosophy, France","Albert Camus",123,"13.95","3/28/89",12653,33904,118721,211751,208003,117006
"7","The Arabian Nights",4.05,"Fiction, Classics, Short Stories, Fantasy","Anonymous",1049,"12","6/1/04",815,2711,13576,22903,25015,13004
"8","Breaking Dawn",3.7,"Romance, Fiction, Young Adult, Fantasy, Paranormal, Vampires","Stephenie Meyer",756,"22.99","8/2/08",106273,122980,230250,285786,435296,236117
"9","The Joy Luck Club",3.91,"Historical Fiction, Contemporary, Historical, Cultural, Classics, Fiction, China","Amy Tan",288,"16","9/21/06",15122,31273,122769,210314,182419,112379
"10","The Tale of Genji",3.71,"Asian Literature, Japan, Fiction, Historical Fiction, Cultural, Historical, Japanese Literature, Classics","Murasaki Shikibu",1182,"34","4/26/03",277,832,2600,2926,2462,1819
"11","The Prince",3.8,"Nonfiction, Classics, Politics, History, Philosophy","Niccolí_ Machiavelli",140,"17.95","6/1/03",4930,16149,58570,76214,62418,43656
"12","Trinity",4.24,"Ireland, Fiction, Historical Fiction, European Literature, Irish Literature, Cultural, Historical","Leon Uris",912,"8.99","7/25/06",134,477,2804,6533,8699,3729
"13","Dreamcatcher",3.62,"Horror, Science Fiction, Fiction","Stephen King",688,"12.31","3/1/02",5693,15315,40901,41157,35338,27681
"14","Women",3.87,"Novels, Literature, Classics, Fiction","Charles Bukowski",291,"14.99","7/29/14",1383,3667,12282,20467,16807,10921
