author,avg_rating,genres,language,num_pages,num_ratings,num_reviews,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5,title
Vladimir Nabokov,3.89,"Fiction, Classics, Literature",English,417.0,584124,21269,$45.99 to $50.59,1995-04-26 00:00:00,23295,41540,121974,188216,209099,Lolita
Sara Gruen,4.08,"Fiction, Romance, Historical Fiction, Historical",English,335.0,1238987,57513,$4.91,2007-05-01 00:00:00,18346,54296,220464,463699,482182,Water for Elephants
Suzanne Collins,4.33,"Teen, Post Apocalyptic, Dystopia, Romance, Fiction, Science Fiction, Action, Young Adult, Apocalyptic, Adventure, Fantasy",English,374.0,5693442,162290,$89.89,2008-10-26 00:00:00,80191,152034,662265,1716515,3082437,The Hunger Games
Homer,3.75,"Academic, Historical Fiction, Historical, School, Classics, Fiction, Literature, Poetry, Read For School, Adventure, Mythology, Fantasy",English,541.0,788559,10687,$15.00,2006-11-30 00:00:00,31985,70143,198917,250124,237390,The Odyssey
Charles Dickens,3.83,"Historical Fiction, Historical, Classics, Fiction, Literature",English,489.0,741092,15251,$21.12,2003-04-26 00:00:00,30838,59225,164709,237020,249300,A Tale of Two Cities
Yann Martel,3.9,"Contemporary, Classics, Fantasy, Fiction, Adventure",English,460.0,1186973,45288,$4.99,2006-08-29 00:00:00,42439,80044,238491,423145,402854,Life of Pi
S.E. Hinton,4.08,"Realistic Fiction, Academic, Historical Fiction, Teen, Historical, Contemporary, School, Classics, Fiction, Coming Of Age, Read For School, Young Adult",English,192.0,799396,28765,$2.98,1997-09-01 00:00:00,11871,38765,152370,265439,330951,The Outsiders
Anne Rice,3.99,"Horror, Paranormal, Vampires, Fiction, Fantasy",English,342.0,438656,9084,$5.60,2004-08-31 00:00:00,8356,24389,92725,152282,160904,Interview with the Vampire
John Irving,4.08,"Contemporary, Classics, Fiction, Literature, Novels",English,610.0,191764,5019,$11.22,1999-04-01 00:00:00,3232,8143,33314,72654,74421,The World According to Garp
Arthur Conan Doyle,4.51,"Fiction, Crime, Classics, Mystery",English,1796.0,154596,3365,$1.99,1986-10-01 00:00:00,635,1423,11954,44850,95734,The Complete Sherlock Holmes
Victor Hugo,3.99,"Historical Fiction, European Literature, Historical, Cultural, Classics, Romance, Fiction, Literature, Gothic, French Literature, Novels, France",English,510.0,153176,4008,$3.38,2001-04-10 00:00:00,2296,7670,34041,54522,54647,The Hunchback of Notre-Dame
Cassandra Clare,4.57,"Urban Fantasy, Paranormal, Romance, Young Adult, Fantasy",English,1520.0,62310,1059,$1.10,2009-10-27 00:00:00,719,1170,4461,11676,44284,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass
Lauren Oliver,3.91,"Contemporary, Romance, Fiction, Young Adult, Fantasy",English,470.0,270870,19587,$6.00,2010-10-25 00:00:00,7521,18030,59914,91899,93506,Before I Fall
Chaim Potok,4.2,"Religion, Judaism, Historical Fiction, Historical, Classics, Fiction, Literature, Jewish",English,369.0,33599,2522,$72.95,2003-03-11 00:00:00,343,1033,5032,12366,14825,My Name Is Asher Lev
Nicholas Sparks,4.11,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",English,326.0,307903,9834,$9.63,2009-08-11 00:00:00,3979,12550,58363,103130,129881,The Lucky One
John Grisham,3.97,"Fiction, Crime, Mystery, Thriller",English,358.0,243601,1901,$8.83,2006-04-25 00:00:00,1729,9263,59285,96885,76439,The Runaway Jury
John Fowles,3.99,"Fiction, Classics, Thriller, Horror",English,283.0,45545,2976,$5.50,1998-10-21 00:00:00,620,2144,9391,18179,15211,The Collector
Trenton Lee Stewart,4.15,"Mystery, Childrens, Middle Grade, Fiction, Young Adult, Adventure, Fantasy",English,485.0,108756,9463,$12.63,2007-03-07 00:00:00,1405,4285,18194,37050,47822,The Mysterious Benedict Society
Nicholas Sparks,4.1,"Fiction, Chick Lit, Womens Fiction, Romance",English,352.0,159115,3577,$11.60,2005-04-01 00:00:00,1777,6179,31940,53183,66036,The Rescue
Michael Crichton,3.84,"Historical Fiction, Historical, Fiction, Science Fiction, Thriller, Time Travel",English,489.0,173622,4152,$399.00,2000-06-26 00:00:00,2907,11915,45176,63015,50609,Timeline
Alice Hoffman,3.79,"Paranormal, Witches, Romance, Fiction, Magic, Magical Realism, Fantasy",English,286.0,56740,4563,$6.14,2003-08-05 00:00:00,969,3972,15884,21084,14831,Practical Magic
Jeaniene Frost,4.34,"Urban Fantasy, Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",English,355.0,74242,2552,$14.35,2009-07-28 00:00:00,650,1608,9102,23609,39273,Destined for an Early Grave
