Country,Age,isbn,average_rating,original_publication_year,title,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,price
 usa,42,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,28,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,32,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,34,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,32,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,44,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,21,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,54,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,45,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 france,30,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,21,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,37,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,26,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,38,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,44,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,56,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,33,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,38,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,40,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,28,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,34,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,48,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,43,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 united kingdom,63,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,47,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,34,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,27,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,33,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 hong kong,45,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,42,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,40,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,33,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,44,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,29,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
 usa,30,067976397X,3.95,1994.0,Corelli's Mandolin,57583,1734,4029,13185,23679,22969,10.80
