title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Chocolat,3.96,"Cultural, Romance, Fiction, Magical Realism, France, Fantasy",Joanne Harris,306,$9.70,11/1/2000,989,4485,23737,41273,31213
Heart of a Dog,4.13,"Fiction, Russia, Literature, Science Fiction, Cultural, Russian Literature, Classics",Mikhail Bulgakov,126,$9.03,1/21/1994,301,1177,5821,12244,13412
Naked in Death,4.12,"Romance, Mystery, Romantic Suspense, Fiction, Crime",J.D. Robb,306,$9.61,7/1/1995,4190,6271,24497,45450,67795
The Yellow Wallpaper and Other Stories,4.04,"Horror, Classics, Feminism, Fiction, Short Stories, Literature",Charlotte Perkins Gilman,70,$5.55,7/11/1997,1102,3393,14610,26567,27513
Pretties,3.85,"Science Fiction, Young Adult, Dystopia",Scott Westerfeld,370,$3.89,11/1/2005,4123,14655,55727,77710,65375
The Stranger,3.97,"Cultural, Classics, Fiction, Literature, Philosophy, France",Albert Camus,123,$13.99,3/28/1989,12653,33904,118721,211751,208003
The Arabian Nights,4.05,"Fiction, Classics, Short Stories, Fantasy",Anonymous,1049,$45.17,6/1/2004,815,2711,13576,22903,25015
Breaking Dawn,3.7,"Romance, Fiction, Young Adult, Fantasy, Paranormal, Vampires",Stephenie Meyer,756,$118.00,8/2/2008,106273,122980,230250,285786,435296
The Joy Luck Club,3.91,"Historical Fiction, Contemporary, Historical, Cultural, Classics, Fiction, China",Amy Tan,288,$6.98,9/21/2006,15122,31273,122769,210314,182419
The Tale of Genji,3.71,"Asian Literature, Japan, Fiction, Historical Fiction, Cultural, Historical, Japanese Literature, Classics",Murasaki Shikibu,1182,$75.50,4/26/2003,277,832,2600,2926,2462
The Prince,3.8,"Nonfiction, Classics, Politics, History, Philosophy",NiccolÃ_ Machiavelli,140,$0.99,6/1/2003,4930,16149,58570,76214,62418
Trinity,4.24,"Ireland, Fiction, Historical Fiction, European Literature, Irish Literature, Cultural, Historical",Leon Uris,912,$0.99,7/25/2006,134,477,2804,6533,8699
Dreamcatcher,3.62,"Horror, Science Fiction, Fiction",Stephen King,688,$2.31,3/1/2002,5693,15315,40901,41157,35338
Women,3.87,"Novels, Literature, Classics, Fiction",Charles Bukowski,291,$19.99,7/29/2014,1383,3667,12282,20467,16807
The Gormenghast Novels,3.99,"Fantasy, Classics, Gothic, Fiction",Mervyn Peake,1173,$100.00,12/26/1995,376,538,1243,2370,3340
Nine Stories,4.19,"American, Classics, Fiction, Short Stories, Literature",J.D. Salinger,198,$900.00,1/30/2001,1504,3817,19674,44123,55488
Richard III,3.93,"Drama, Classics, Fiction, Plays",William Shakespeare,414,$21.70,5/17/2001,598,2497,9287,13802,13198
The Pillars of the Earth,4.31,"Fiction, Historical Fiction, Historical",Ken Follett,973,$17.70,2/4/2002,10663,18978,64829,168947,310372
Corelli's Mandolin,3.97,"Historical Fiction, Historical, Classics, Romance, Fiction, War",Louis de BerniÃ¨res,437,$10.76,8/29/1995,1822,4216,13874,25480,25419
Ugly Love,4.27,"New Adult, Contemporary Romance, Contemporary, Romance",Colleen Hoover,337,$5.11,8/5/2014,2502,5558,17895,40889,75222
The Five People You Meet in Heaven,3.92,"Fiction, Inspirational, Contemporary, Fantasy",Mitch Albom,196,$1.99,9/23/2003,13196,35739,116197,171726,185153
The Alienist,4.06,"Historical Fiction, Mystery, Historical, Mystery Thriller, Fiction, Crime, Thriller",Caleb Carr,498,$23.41,10/24/2006,2137,5607,23370,48445,48551
The Kitchen House,4.19,"Historical, Book Club, Fiction, Historical Fiction",Kathleen Grissom,369,$5.55,2/2/2010,2135,6488,29595,81888,88589
A Walk to Remember,4.16,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction, Young Adult",Nicholas Sparks,240,$11.11,9/1/2004,11245,25386,99831,181165,282487
The Truth About Forever,4.13,"Fiction, Young Adult, Contemporary, Romance",Sarah Dessen,374,$12.22,5/11/2004,2912,8126,35713,64576,86344
Angels & Demons,3.88,"Fiction, Mystery, Thriller, Suspense",Dan Brown,736,$2.99 to $8.99,4/1/2006,85649,158546,507168,812994,801802
The Pearl,3.45,"Academic, School, Classics, Fiction, Literature",John Steinbeck,96,$23.73,1/8/2002,9605,20143,54732,53578,30645
Midnight in the Garden of Good and Evil,3.91,"Crime, True Crime, Nonfiction, Mystery",John Berendt,386,$21.99,6/28/1999,2592,10061,47249,79138,57991
The Lost Colony,4,"Fantasy, Fiction, Science Fiction, Young Adult",Eoin Colfer,385,$12.04,9/15/2006,4079,6601,28251,48190,53429
The Song of Achilles,4.32,"LGBT, Historical Fiction, Historical, Romance, Fiction, Mythology, Fantasy",Madeline Miller,352,$7.15,9/20/2011,1711,3426,13638,36084,63642
Before I Go to Sleep,3.89,"Mystery, Suspense, Thriller, Fiction",S.J. Watson,359,$5.60,6/14/2011,4355,14318,59753,99875,72946
Atonement,3.89,"Historical Fiction, Historical, Classics, Romance, Fiction",Ian McEwan,351,$5.26,3/26/2003,12191,27215,83399,147641,130601
The Left Hand of Darkness,4.06,"Science Fiction, Classics, Fiction, Fantasy",Ursula K. Le Guin,304,$300.00,7/1/2000,1490,4585,17642,36146,37051
Fahrenheit 451,3.98,"Fiction, Dystopia, Classics, Science Fiction",Ray Bradbury,227,$12.62,3/28/2013,32833,75293,278634,506007,503078
Rebecca,4.22,"Mystery, Classics, Romance, Fiction, Gothic",Daphne du Maurier,449,$19.99,12/17/2013,5123,12310,55695,130767,180239
The Scarlet Letter,3.39,"Academic, Historical Fiction, Historical, School, Classics, Fiction",Nathaniel Hawthorne,279,$15.48,2/27/2003,38819,88814,204456,187309,112712
Wool Omnibus,4.24,"Fiction, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic",Hugh Howey,509,$10.49,1/25/2012,1345,4131,18478,53689,64196
Contact,4.13,"Science Fiction, Fiction",Carl Sagan,580,$2.75 to $2.91,8/28/1997,984,3683,19703,40601,44011
The Wedding,3.98,"Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Nicholas Sparks,276,$2.99,8/1/2005,2206,7993,29759,41815,50272
A Tree Grows in Brooklyn,4.26,"Historical Fiction, Historical, Classics, Fiction, Young Adult",Betty  Smith,496,$94.80,5/30/2006,4013,10388,47367,114903,168301
My ÃÅntonia,3.78,"Historical Fiction, Historical, Classics, Fiction, Literature",Willa Cather,232,$97.78,2/20/2000,3880,9027,26881,39385,32014
Bridget Jones's Diary,3.76,"Humor, Contemporary, Womens Fiction, Chick Lit, Romance, Fiction",Helen Fielding,288,$11.11,6/1/1999,31879,63635,213520,278142,240323
Sons and Lovers,3.62,"Romance, English Literature, Fiction, 20th Century, Literature, European Literature, Banned Books, British Literature, Novels, Classics, Classic Literature",D.H. Lawrence,654,$16.81,8/17/1999,1564,4233,12751,14932,9567
The Martian Chronicles,4.13,"Science Fiction, Classics, Short Stories, Fiction",Ray Bradbury,182,$60.00,6/1/1984,1942,6674,32409,65950,76077
Kane and Abel,4.29,"Historical Fiction, Historical, Drama, Fiction, Thriller",Jeffrey Archer,592,$18.99,3/13/2004,692,2031,11621,31660,43536
Night Watch,4.49,"Fiction, Humor, Science Fiction Fantasy, Fantasy",Terry Pratchett,480,$24.99,10/27/2011,243,764,7567,26384,52292
Night Watch,3.98,"Fiction, Fantasy, Paranormal, Urban Fantasy, Horror, Vampires",Sergei Lukyanenko,455,$24.99,7/1/2006,602,2006,7534,14671,12555
The Daughter of Time,3.94,"Mystery, Fiction, Historical Fiction, Historical, Crime",Josephine Tey,206,$6.84,11/29/1995,387,1267,4500,7718,6908
Wicked: The Life and Times of the Wicked Witch of the West,3.53,"Fiction, Adult, Fantasy",Gregory Maguire,406,$11.37,4/26/2000,41736,67752,136888,159938,139146
I've Got Your Number,3.94,"Romance, Womens Fiction, Contemporary, Fiction, Humor, Chick Lit",Sophie Kinsella,433,$200.00,2/14/2012,3872,8958,38301,64880,56798
The Poisonwood Bible,4.05,"Africa, Historical Fiction, Historical, Cultural, Classics, Fiction",Barbara Kingsolver,546,$5.99,7/5/2005,22245,35308,98336,190004,264185
Stardust,4.08,"Romance, Fantasy, Fiction, Young Adult, Adventure",Neil Gaiman,248,$11.50,8/29/2006,3239,11129,57973,121986,115257
The Color of Magic,3.99,"Fiction, Humor, Fantasy",Terry Pratchett,228,$9.02,9/13/2005,4606,13520,58863,96344,97467
All Together Dead,4.06,"Mystery, Urban Fantasy, Paranormal, Vampires, Romance, Fiction, Fantasy",Charlaine Harris,323,$9.89,5/1/2007,1168,5983,39271,68922,64661
Carrie,3.95,"Horror, Paranormal, Fiction, Thriller, Fantasy",Stephen King,253,$17.49,11/1/2005,5299,21740,108933,159794,144490
